CityNumber,CityName,Country,Max Temperature,Latitude,Longitude,Humidity (%),Cloudness (%),WindSpeed
3618337,Rosita,NI,70.49,13.92,-84.4,86,0,3.38
2126785,Belaya Gora,RU,-32.52,68.54,146.19,0,32,3.15
2160063,Codrington,AU,89.6,-28.95,153.24,40,40,17.22
4893070,Franklin Park,US,24.8,41.94,-87.87,74,40,3.6
2063036,Port Lincoln,AU,82.28,-34.72,135.86,53,92,11.99
2377457,Nouadhibou,MR,60.05,20.93,-17.03,71,0,12.21
4407665,Kodiak,US,35.06,39.95,-94.76,63,90,8.05
6111862,Port Hardy,CA,46.4,50.7,-127.42,87,90,23.04
5126209,Mastic Beach,US,30.92,40.77,-72.85,53,1,18.34
3831208,Qaanaaq,GL,-18.3,77.48,-69.36,100,24,8.52
545982,Kolyshley,RU,5.56,52.7,44.54,82,80,8.97
2175403,Bluff,AU,80.17,-23.58,149.07,76,92,10.42
2181625,Te Anau,NZ,58.93,-45.41,167.72,49,44,9.19
5960603,Geraldton,CA,-4.01,49.72,-86.95,64,90,2.24
1803936,Wuwei,CN,22.12,37.93,102.64,38,0,7.96
2121126,Smirnykh,RU,9.29,49.74,142.83,48,0,14.0
5427957,Lamar,US,37.94,38.09,-102.62,46,1,8.05
1277214,Banswara,IN,52.04,23.55,74.45,72,0,9.53
3393471,Oriximina,BR,74.14,-1.77,-55.87,98,88,2.59
2206890,Masterton,NZ,73.96,-40.95,175.66,52,44,10.98
4317639,Bossier City,US,47.48,32.52,-93.73,49,1,3.36
286245,Sur,OM,70.85,22.57,59.53,100,8,2.48
5530452,Seminole,US,50.36,32.72,-102.64,78,1,4.7
2449067,Timbuktu,ML,50.51,16.77,-3.01,55,0,3.38
3177094,Ferrandina,IT,33.8,40.5,16.45,86,40,10.29
964432,Port Alfred,ZA,65.77,-33.59,26.89,95,64,6.06
2082539,Merauke,ID,85.7,-8.49,140.4,87,20,9.42
3066743,Rotava,CZ,19.4,50.3,12.57,92,75,3.94
2246550,Dagana,MR,68.0,16.52,-15.51,22,0,2.24
2514651,Los Llanos de Aridane,ES,60.8,28.66,-17.92,59,75,6.93
934971,Mhlambanyatsi,SZ,63.88,-26.45,31.02,95,48,2.48
2302357,Cape Coast,GH,75.04,5.11,-1.24,91,8,2.71
3583178,San Vicente,SV,82.4,13.64,-88.78,45,0,6.93
5922281,Chute-aux-Outardes,CA,23.0,49.12,-68.38,67,90,11.41
128008,Khalkhal,IR,11.09,37.62,48.53,55,0,2.48
8010472,Belmonte,PT,26.17,40.36,-7.35,58,0,6.73
2228373,Maroua,CM,66.2,10.6,14.33,39,0,5.82
1682474,Ternate,PH,86.0,14.29,120.72,58,40,11.41
2163355,Hobart,AU,80.6,-42.88,147.33,18,0,11.41
2065594,Mount Isa,AU,102.2,-20.73,139.49,29,0,13.87
3137469,Sorland,NO,41.6,67.67,12.69,100,92,57.29
3576994,Cockburn Town,TC,74.32,21.46,-71.14,100,12,12.66
595020,Salantai,LT,28.4,56.06,21.57,92,88,12.75
1693303,Pitogo,PH,80.98,13.79,122.09,94,0,13.89
124274,Mehriz,IR,30.2,31.58,54.44,26,0,2.24
2649784,Eyemouth,GB,46.4,55.87,-2.09,70,48,9.17
344979,Lebu,ET,46.4,8.96,38.73,61,0,5.82
4021858,Guerrero Negro,MX,52.09,27.97,-114.04,100,0,4.61
1161724,Chabahar,IR,71.03,25.29,60.65,100,8,13.22
5243770,Allouez,US,21.2,44.48,-88.02,67,40,2.71
6322184,Porto Novo,BR,73.4,-23.68,-45.44,88,40,4.7
5850554,Makakilo City,US,78.98,21.35,-158.09,83,90,9.17
3839307,Rawson,AR,58.79,-43.3,-65.11,32,0,13.22
2017155,Saskylakh,RU,-40.75,71.97,114.09,0,56,3.15
712587,Novikovo,UA,41.51,45.05,34.56,98,88,15.57
3458696,Lavras,BR,65.77,-21.24,-45.0,80,44,4.16
1714733,Dingle,PH,81.61,11.0,122.67,71,32,17.25
1168312,Pasni,PK,70.49,25.26,63.48,97,12,6.29
2022572,Khatanga,RU,-42.6,71.98,102.47,0,12,4.94
2611060,Tvoroyri,FO,42.8,61.56,-6.81,100,56,9.17
1852357,Shimoda,JP,53.6,34.7,138.93,54,75,9.17
1636722,Malang,ID,87.8,-7.98,112.63,74,20,6.93
262462,Saint George,GR,41.0,39.45,22.34,80,40,6.93
2312895,Mbandaka,CD,73.64,0.05,18.26,96,20,2.15
2126123,Chokurdakh,RU,-38.19,70.62,147.9,0,32,3.15
3608828,Iralaya,HN,76.7,15.0,-83.23,87,68,7.29
2212775,Sabha,LY,40.79,27.03,14.43,58,0,9.42
2094342,Kavieng,PG,83.63,-2.57,150.8,100,48,7.63
1040652,Maputo,MZ,78.8,-25.97,32.57,78,75,13.87
493795,Shonguy,RU,24.8,68.75,33.15,79,40,8.95
4033356,Tiarei,PF,80.6,-17.53,-149.33,74,75,8.05
662476,Runcu,RO,30.2,44.59,26.21,92,90,4.7
1496503,Noyabrsk,RU,-18.61,63.2,75.45,81,20,6.73
2121025,Srednekolymsk,RU,-27.7,67.46,153.71,44,56,2.59
236950,Obo,CF,59.6,5.39,26.49,72,0,6.62
1733782,Victoria,BN,87.8,5.28,115.24,66,75,9.17
2093967,Kimbe,PG,85.16,-5.56,150.15,92,32,5.73
3366880,Hermanus,ZA,49.21,-34.42,19.24,95,0,4.16
215976,Ilebo,CD,73.87,-4.33,20.59,92,76,2.15
141736,Bam,IR,31.66,29.11,58.36,50,0,4.94
945945,Upington,ZA,64.4,-28.46,21.24,42,0,2.24
3013748,Hauterive,FR,30.2,46.09,3.45,80,90,3.36
331038,Mendi,ET,48.71,9.8,35.1,74,0,2.26
499025,Samoded,RU,19.28,63.61,40.52,76,80,13.22
3421719,Narsaq,GL,13.61,60.91,-46.05,59,32,3.83
4014338,Chihuahua,MX,59.0,28.66,-106.08,58,75,2.37
3833859,Barrow,AR,48.08,-38.31,-60.23,80,0,2.71
5742974,North Bend,US,51.08,43.41,-124.22,92,40,5.82
1524298,Aksu,KZ,-14.81,52.04,76.93,83,90,2.24
3456277,Nobres,BR,75.44,-14.72,-56.34,84,48,3.71
6167817,Torbay,CA,37.4,47.66,-52.73,93,90,3.36
1638775,Payo,ID,83.36,-3.75,103.64,93,24,4.94
334700,Hirna,ET,37.01,9.22,41.1,78,0,2.15
287832,Ibra,OM,54.52,22.69,58.55,96,12,2.71
4978701,Skowhegan,US,17.96,44.77,-69.72,67,1,14.99
1847947,Shingu,JP,51.8,33.72,135.99,50,75,18.34
3887344,Illapel,CL,52.54,-31.63,-71.17,100,0,3.6
934322,Mahebourg,MU,78.8,-20.41,57.7,94,75,6.93
5713587,Bend,US,39.2,44.06,-121.32,78,1,5.82
6295855,Saint-Georges,CA,19.69,46.12,-70.67,64,76,10.65
2077895,Alice Springs,AU,102.2,-23.7,133.88,17,0,14.99
4020109,Atuona,PF,81.61,-9.8,-139.03,99,20,16.46
1258338,Ratnagiri,IN,75.67,16.98,73.3,100,0,3.71
2122293,Ozernovskiy,RU,17.08,51.5,156.52,100,48,4.05
1106677,Bambous Virieux,MU,78.8,-20.34,57.76,94,75,6.93
2729907,Longyearbyen,NO,15.8,78.22,15.63,66,90,32.21
6089245,Norman Wells,CA,-32.81,65.28,-126.83,66,75,3.36
3372707,Ribeira Grande,PT,59.69,38.52,-28.7,100,88,29.33
3874787,Punta Arenas,CL,53.6,-53.16,-70.91,66,75,12.75
286621,Salalah,OM,68.0,17.01,54.1,68,0,3.36
3870243,Taltal,CL,53.53,-25.41,-70.49,100,0,1.59
2441447,Maine-Soroa,NE,55.46,13.21,12.02,53,0,5.95
3469294,Bonito,BR,75.89,-21.13,-56.49,85,12,3.15
3455065,Paranaiba,BR,76.12,-19.68,-51.19,67,0,7.63
3419842,Sisimiut,GL,-19.33,66.94,-53.67,100,8,2.59
2191562,Dunedin,NZ,62.03,-45.87,170.5,60,0,15.46
3696509,Huamachuco,PE,46.28,-7.82,-78.05,97,92,2.15
2120591,Tilichiki,RU,22.34,60.47,166.1,82,44,9.42
1214488,Meulaboh,ID,80.71,4.14,96.13,100,36,1.14
5855927,Hilo,US,75.92,19.71,-155.08,68,1,14.99
1633419,Padang,ID,84.2,-0.92,100.36,79,20,3.36
1266649,Khowai,IN,59.0,24.08,91.6,77,0,3.15
3134658,Terrak,NO,37.4,65.09,12.37,89,88,35.57
1848087,Miyako,JP,51.8,33.63,130.94,50,75,2.24
2015179,Tommot,RU,8.66,58.97,126.27,74,80,3.94
3893629,Coquimbo,CL,59.0,-29.95,-71.34,87,75,4.7
3531368,Celestun,MX,72.43,20.87,-90.4,100,0,13.0
5887798,Assiniboia,CA,15.01,49.63,-105.99,81,0,6.62
3863379,Mar del Plata,AR,62.75,-46.43,-67.52,46,0,18.03
1799384,Ninghai,CN,48.2,29.29,121.42,100,90,2.24
4013704,Laguna,MX,66.2,27.52,-110.01,68,75,5.82
1488190,Ust-Kan,RU,-2.41,50.93,84.77,72,32,2.15
1637510,Loa Janan,ID,89.17,-0.58,117.09,64,8,2.93
1045114,Inhambane,MZ,78.91,-23.87,35.38,99,12,10.65
967476,Orkney,ZA,57.67,-26.98,26.67,91,0,3.71
4372777,Vardo,US,30.2,39.62,-77.74,50,90,20.8
2123628,Magadan,RU,5.33,59.56,150.8,100,56,11.21
2136825,Isangel,VU,80.03,-19.55,169.27,100,0,6.73
1006984,East London,ZA,68.0,-33.02,27.91,88,40,2.24
1488903,Turukhansk,RU,-23.74,65.8,87.96,35,56,8.75
5848280,Kapaa,US,77.0,22.08,-159.32,71,40,4.7
2508813,Adrar,DZ,44.6,27.87,-0.29,28,0,6.93
3468157,Cajati,BR,73.24,-24.73,-48.11,94,0,1.7
1082243,Ambilobe,MG,73.01,-13.19,49.05,100,44,2.93
6111867,Port Hawkesbury,CA,30.2,45.62,-61.36,92,1,6.93
2037078,Hailar,CN,4.61,49.2,119.7,73,0,5.17
3391287,Prainha,BR,73.28,-1.8,-53.48,100,92,4.38
3453439,Ponta do Sol,BR,66.71,-20.63,-46.0,83,48,2.71
6068416,Mayo,CA,-22.01,63.59,-135.9,67,90,1.25
730442,Harmanli,BG,33.8,41.93,25.9,100,90,9.17
1855612,Nara,JP,51.8,34.68,135.8,43,75,4.7
5896969,Beaverlodge,CA,-2.21,55.21,-119.43,84,40,5.82
4011743,Constitucion,MX,59.0,23.99,-104.67,37,5,13.87
5861897,Fairbanks,US,-27.94,64.84,-147.72,71,64,3.15
2742765,Areosa,PT,46.4,41.72,-8.86,49,0,14.99
3932145,Pisco,PE,71.6,-13.71,-76.2,88,90,8.05
2121385,Severo-Kurilsk,RU,19.51,50.68,156.12,100,0,2.82
314967,Fethiye,TR,55.4,36.62,29.12,71,75,10.29
3896218,Castro,CL,46.4,-42.48,-73.76,87,32,4.7
236844,Ouango,CD,68.92,4.31,22.55,90,0,2.26
5044407,Saint Stephen,US,19.4,45.7,-94.27,78,1,4.7
5919850,Chapais,CA,-4.01,49.78,-74.86,70,90,10.29
3985710,Cabo San Lucas,MX,68.0,22.89,-109.91,77,40,4.7
1651810,Airai,TL,79.49,-8.93,125.41,83,32,1.81
2644122,Llandrindod Wells,GB,36.65,52.24,-3.38,94,48,6.85
1849876,Yamada,JP,46.4,36.58,137.08,52,40,4.7
204283,Watsa,CD,64.28,3.04,29.53,82,56,1.03
6170031,Tuktoyaktuk,CA,-29.21,69.44,-133.03,66,20,8.05
2014624,Udachnyy,RU,-26.53,66.42,112.4,39,64,2.93
2208248,Kaitangata,NZ,57.71,-46.28,169.85,66,64,22.95
1495626,Pangody,RU,-28.69,65.85,74.49,46,32,3.15
2318921,Wukari,NG,65.14,7.87,9.78,66,0,3.94
2966778,Ballina,IE,38.45,54.11,-9.15,100,36,3.38
2156934,Morayfield,AU,89.6,-27.11,152.95,51,20,14.99
2126199,Cherskiy,RU,0.61,68.75,161.3,53,0,8.3
4267710,Sitka,US,45.56,37.17,-99.65,54,12,16.02
1015776,Bredasdorp,ZA,55.4,-34.53,20.04,82,0,3.36
637293,Savonlinna,FI,26.6,61.87,28.88,100,90,9.17
2021017,Kysyl-Syr,RU,-26.85,63.9,122.77,41,68,8.3
2180815,Tuatapere,NZ,53.26,-46.13,167.69,100,88,15.9
602150,Umea,SE,35.6,63.83,20.26,55,0,12.75
3833367,Ushuaia,AR,57.2,-54.81,-68.31,50,40,9.17
57000,Hobyo,SO,77.02,5.35,48.53,83,76,19.48
2122104,Petropavlovsk-Kamchatskiy,RU,19.4,53.05,158.65,52,75,17.9
964349,Potchefstroom,ZA,60.68,-26.71,27.1,90,0,6.17
3378644,Georgetown,GY,73.4,6.8,-58.16,94,20,2.24
6138908,Saint-Philippe,CA,12.2,45.36,-73.48,61,90,23.04
2142316,Yeppoon,AU,84.2,-23.13,150.74,54,40,13.87
2290609,Dabakala,CI,72.83,8.36,-4.43,60,56,2.71
2037311,Gannan,CN,13.79,47.92,123.49,51,0,5.39
3591092,Pueblo Nuevo Vinas,GT,60.8,14.23,-90.47,72,40,18.34
912628,Kasempa,ZM,64.64,-13.46,25.83,98,92,1.36
5880568,Bethel,US,-14.98,60.79,-161.76,76,1,13.87
3347019,Namibe,AO,73.01,-15.19,12.15,100,0,1.59
1632694,Pangkalanbuun,ID,82.01,-2.68,111.62,100,44,4.16
5983720,Iqaluit,CA,-18.41,63.75,-68.52,68,75,9.17
2158767,Mareeba,AU,87.8,-16.99,145.42,66,40,8.05
2015852,Svetlaya,RU,18.83,46.54,138.33,100,0,9.42
3374083,Bathsheba,BB,78.8,13.22,-59.52,74,40,13.87
3466165,Cidreira,BR,73.55,-30.17,-50.22,90,48,6.17
3571592,Rock Sound,BS,72.97,24.9,-76.2,100,0,13.56
2332515,Lafia,NG,63.2,8.5,8.51,69,0,2.93
1242110,Kalmunai,LK,75.8,7.42,81.82,97,76,7.18
2123814,Leningradskiy,RU,0.52,69.38,178.42,97,76,23.29
3423146,Ilulissat,GL,-9.41,69.22,-51.1,63,0,4.7
3573739,Esperance,TT,75.2,10.24,-61.45,88,20,5.95
4031574,Provideniya,RU,-2.21,64.42,-173.23,58,0,6.71
3305808,Warmbad,DE,28.4,50.67,13.08,86,44,8.05
2127202,Anadyr,RU,12.2,64.73,177.51,72,90,22.37
5895424,Bay Roberts,CA,37.4,47.58,-53.28,93,90,3.36
113659,Tabas,IR,33.8,33.6,56.92,80,8,4.7
3395458,Maragogi,BR,74.77,-9.01,-35.22,99,80,5.17
5924351,Clyde River,CA,-25.61,70.47,-68.59,67,1,6.93
3461370,Imbituba,BR,75.2,-28.24,-48.67,83,20,3.36
902620,Mwinilunga,ZM,67.34,-11.73,24.43,87,56,4.16
3374210,Sao Filipe,CV,72.43,14.9,-24.5,96,48,16.91
789988,Mana,RS,28.4,43.52,20.24,100,90,2.24
2122090,Pevek,RU,7.09,69.7,170.27,71,36,23.29
6050066,La Ronge,CA,1.4,55.1,-105.3,84,90,5.82
877532,Newala,TZ,72.11,-10.94,39.28,94,8,7.4
1705460,Luba,PH,82.19,17.32,120.7,58,0,4.05
1688687,San Quintin,PH,82.19,17.54,120.52,58,0,4.05
1568770,Quang Ngai,VN,73.01,15.12,108.8,93,24,2.93
2127500,Shibetsu,JP,14.0,44.15,142.46,78,20,3.36
1795632,Shenjiamen,CN,54.16,29.96,122.3,100,92,11.21
1185239,Mathbaria,BD,66.89,22.29,89.96,68,0,6.85
3466913,Carmo,BR,67.39,-21.93,-42.61,78,24,3.6
5291033,Cottonwood,US,48.2,34.74,-112.01,61,90,3.94
1218436,Sayat,TM,39.2,38.78,63.88,86,75,11.41
2152659,Port Macquarie,AU,86.0,-31.43,152.91,55,8,17.22
1493423,Russkaya Polyana,RU,-3.22,53.78,73.88,63,68,6.29
3026644,Souillac,FR,32.0,45.6,-0.6,78,0,1.12
5306611,Nogales,US,50.0,31.34,-110.94,79,1,6.93
2790471,Hun,BE,35.6,50.34,4.87,100,75,9.17
890422,Gweru,ZW,61.99,-19.46,29.82,97,68,3.15
1648759,Bima,ID,84.35,-8.45,118.73,80,76,2.71
595449,Radviliskis,LT,10.4,55.82,23.53,100,90,14.99
2172797,Cairns,AU,84.2,-16.92,145.77,79,75,8.05
1495022,Petukhovo,RU,7.27,55.06,67.89,85,80,10.65
3220813,Wanning,AT,28.4,48.64,13.53,79,90,5.82
1788852,Xining,CN,14.24,36.62,101.77,29,0,3.15
778707,Mehamn,NO,27.74,71.03,27.85,83,12,15.46
3622716,Nicoya,CR,80.6,10.15,-85.45,54,0,17.22
1255619,Srivardhan,IN,67.25,18.03,73.02,85,0,3.15
2638419,Scarborough,GB,42.8,54.28,-0.41,87,68,4.7
2192362,Christchurch,NZ,62.6,-43.53,172.64,72,44,12.75
3397763,Jacareacanga,BR,71.66,-6.22,-57.76,99,92,3.27
3421319,Nuuk,GL,17.6,64.17,-51.74,72,0,16.11
1655559,Luang Prabang,LA,71.6,19.89,102.14,88,90,2.24
3663517,Manaus,BR,73.4,-3.13,-59.98,94,75,4.7
2164422,Griffith,AU,93.2,-34.29,146.06,36,40,4.7
3438825,Coronel Bogado,PY,75.2,-27.16,-56.24,78,0,8.05
1630662,Praya,ID,89.6,-8.71,116.27,66,20,6.93
1538648,Toktogul,KG,3.44,41.87,72.95,63,48,1.7
2028164,Deputatskiy,RU,-35.35,69.3,139.9,0,48,2.82
2038067,Chifeng,CN,25.4,42.27,118.96,32,24,3.94
2185763,Okato,NZ,68.47,-39.19,173.88,89,0,13.78
3421765,Nanortalik,GL,27.97,60.14,-45.24,84,32,5.73
143073,Ardakan,IR,30.2,32.31,54.02,26,0,2.24
6539761,Rome,IT,37.4,41.89,12.48,74,0,11.41
3455251,Panorama,BR,75.58,-21.35,-51.86,71,24,7.63
527321,Mezen,RU,16.13,65.85,44.24,77,92,13.44
3899539,Antofagasta,CL,68.0,-23.65,-70.4,68,0,3.36
4034551,Faanui,PF,84.26,-16.48,-151.75,100,92,16.35
3650121,Olinda,EC,77.0,-2.03,-79.75,88,75,5.82
3445764,Unai,BR,73.42,-16.36,-46.91,71,92,4.05
3443061,Chuy,UY,66.35,-33.69,-53.46,100,80,3.6
1014034,Carnarvon,ZA,49.48,-30.97,22.13,56,0,2.82
1262395,Murwara,IN,49.43,23.85,80.4,74,0,2.82
1258599,Rampur,IN,47.32,28.8,79.03,80,20,2.82
3373652,Oistins,BB,78.8,13.07,-59.53,74,20,12.75
3391889,Pitimbu,BR,77.0,-7.47,-34.81,88,20,4.7
6145668,Shediac,CA,26.6,46.22,-64.55,92,90,13.87
1266124,Sirpur,IN,60.68,18.94,78.68,69,0,2.82
5554428,Ketchikan,US,46.04,55.34,-131.65,88,90,18.34
2033196,Zhangjiakou,CN,22.57,40.77,114.88,63,32,3.71
3573739,San Fernando,TT,75.2,10.28,-61.46,88,20,5.95
